,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,dot,four,six,wides,noBalls,match_id
451,Bangladesh Vs Pakistan,Bangladesh,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1,T20I # 1872
452,India Vs Zimbabwe,Zimbabwe,Richard Ngarava,4,1,44,1,11.00,12,2,4,1,1,T20I # 1873
453,India Vs Zimbabwe,Zimbabwe,Tendai Chatara,4,0,34,0,8.50,5,3,1,0,0,T20I # 1873
454,India Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,50,1,12.50,5,8,0,1,0,T20I # 1873
455,India Vs Zimbabwe,Zimbabwe,Wellington Masakadza,2,0,12,0,6.00,5,1,0,1,0,T20I # 1873
456,India Vs Zimbabwe,Zimbabwe,Ryan Burl,1,0,14,0,14.00,1,1,1,0,0,T20I # 1873
457,India Vs Zimbabwe,Zimbabwe,Sikandar Raza,3,0,18,1,6.00,5,0,1,0,0,T20I # 1873
458,India Vs Zimbabwe,Zimbabwe,Sean Williams,2,0,9,2,4.50,6,0,0,2,0,T20I # 1873
459,India Vs Zimbabwe,India,Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,1,0,T20I # 1873
460,India Vs Zimbabwe,India,Arshdeep Singh,2,0,9,1,4.50,9,1,0,2,0,T20I # 1873
461,India Vs Zimbabwe,India,Mohammed Shami,2,0,14,2,7.00,7,1,1,0,0,T20I # 1873
462,India Vs Zimbabwe,India,Hardik Pandya,3,0,16,2,5.33,10,1,0,2,1,T20I # 1873
463,India Vs Zimbabwe,India,Ravichandran Ashwin,4,0,22,3,5.50,13,3,0,1,0,T20I # 1873
464,India Vs Zimbabwe,India,Axar Patel,3.2,0,40,1,12.00,4,5,1,0,0,T20I # 1873
465,New Zealand Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0,T20I # 1877
466,New Zealand Vs Pakistan,Pakistan,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0,T20I # 1877
467,New Zealand Vs Pakistan,Pakistan,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0,T20I # 1877
468,New Zealand Vs Pakistan,Pakistan,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0,T20I # 1877
469,New Zealand Vs Pakistan,Pakistan,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0,T20I # 1877
470,New Zealand Vs Pakistan,Pakistan,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0,T20I # 1877
471,New Zealand Vs Pakistan,New Zealand,Trent Boult,4,0,33,2,8.25,9,5,0,0,0,T20I # 1877
472,New Zealand Vs Pakistan,New Zealand,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0,T20I # 1877
473,New Zealand Vs Pakistan,New Zealand,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0,T20I # 1877
474,New Zealand Vs Pakistan,New Zealand,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0,T20I # 1877
475,New Zealand Vs Pakistan,New Zealand,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0,T20I # 1877
476,India Vs England,England,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0,T20I # 1878
477,India Vs England,England,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0,T20I # 1878
478,India Vs England,England,Sam Curran,4,0,42,0,10.50,9,5,2,0,0,T20I # 1878
479,India Vs England,England,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0,T20I # 1878
480,India Vs England,England,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0,T20I # 1878
481,India Vs England,England,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,T20I # 1878
482,India Vs England,India,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0,T20I # 1878
483,India Vs England,India,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0,T20I # 1878
484,India Vs England,India,Axar Patel,4,0,30,0,7.50,10,2,2,0,0,T20I # 1878
485,India Vs England,India,Mohammed Shami,3,0,39,0,13.00,7,4,3,0,0,T20I # 1878
486,India Vs England,India,Ravichandran Ashwin,2,0,27,0,13.50,1,1,2,1,0,T20I # 1878
487,India Vs England,India,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0,T20I # 1878
488,Pakistan Vs England,England,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1,T20I # 1879
489,Pakistan Vs England,England,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0,T20I # 1879
490,Pakistan Vs England,England,Sam Curran,4,0,12,3,3.00,15,0,0,0,0,T20I # 1879
491,Pakistan Vs England,England,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0,T20I # 1879
492,Pakistan Vs England,England,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,T20I # 1879
493,Pakistan Vs England,England,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0,T20I # 1879
494,Pakistan Vs England,Pakistan,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0,T20I # 1879
495,Pakistan Vs England,Pakistan,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0,T20I # 1879
496,Pakistan Vs England,Pakistan,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,T20I # 1879
497,Pakistan Vs England,Pakistan,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0,T20I # 1879
498,Pakistan Vs England,Pakistan,Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0,T20I # 1879
499,Pakistan Vs England,Pakistan,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0,T20I # 1879
